Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2023-07-05;1;4;6;10;16;17;18;19;22;25;26;32;42;43;53;56;58;59;63;65
2023-07-04;2;6;7;9;12;16;17;22;23;25;29;35;42;43;44;47;55;56;62;70
2023-07-03;7;13;15;16;18;19;23;25;28;31;32;33;35;36;38;40;46;56;59;65
2023-07-02;19;23;26;31;32;33;35;39;40;41;44;45;47;52;58;59;60;61;65;66
2023-07-01;2;5;10;13;15;18;21;25;30;31;33;44;45;49;57;58;61;62;64;66
2023-06-30;1;11;15;16;20;25;26;29;32;33;34;45;47;49;52;55;57;62;65;66
2023-06-29;2;13;14;16;20;27;29;30;42;48;50;51;53;55;56;57;61;64;67;68
2023-06-28;3;5;7;20;25;27;29;30;32;34;36;45;46;49;51;59;63;64;67;68
2023-06-27;1;2;7;8;12;18;19;23;24;26;29;33;41;42;45;54;58;64;65;70
2023-06-26;5;7;12;16;19;20;28;36;37;38;39;42;43;45;53;54;57;58;68;69
2023-06-25;3;10;14;15;16;17;18;25;29;30;32;33;37;39;48;53;56;64;68;69
2023-06-24;4;5;7;12;14;15;16;19;20;27;29;32;36;41;46;57;59;60;66;69
2023-06-23;2;8;16;21;25;27;31;39;41;43;47;52;56;58;60;62;64;65;68;69
2023-06-22;2;5;6;8;21;24;25;28;29;32;33;34;35;37;39;49;51;54;68;69
2023-06-21;3;4;5;6;13;20;21;31;33;37;38;47;51;52;54;56;57;63;64;70
2023-06-20;3;4;5;10;11;13;16;29;35;40;41;45;48;53;55;56;57;60;62;66
2023-06-19;1;4;6;7;11;13;18;23;27;29;31;39;46;47;49;50;51;52;55;67
2023-06-18;1;8;9;10;11;14;20;21;24;25;26;30;32;42;43;47;48;54;59;66
2023-06-17;7;9;10;15;24;34;36;41;44;47;49;50;52;55;57;58;65;66;67;69
2023-06-16;5;8;12;13;27;33;36;38;40;41;44;47;48;51;52;53;56;64;66;69
2023-06-15;6;12;13;18;20;22;28;29;30;36;46;48;50;54;57;60;61;63;64;66
2023-06-14;7;10;13;15;18;20;23;25;28;33;38;39;40;42;44;46;56;59;61;65
2023-06-13;1;3;5;7;18;19;28;29;32;33;35;38;39;42;48;51;53;57;61;62
2023-06-12;2;5;13;14;15;19;20;21;26;29;30;31;35;36;37;41;47;51;56;59
2023-06-11;1;6;8;13;14;16;21;23;33;40;41;42;47;50;53;55;57;63;65;70
2023-06-10;1;3;7;10;11;12;22;30;31;34;36;37;42;45;48;55;64;67;68;70
2023-06-09;3;5;6;9;10;14;24;27;28;31;35;36;43;45;48;56;57;60;65;68
2023-06-08;4;14;20;22;30;32;37;40;45;47;50;51;54;55;56;59;66;68;69;70
2023-06-07;2;5;8;12;13;14;25;28;32;36;37;39;41;48;49;51;52;56;61;62
2023-06-06;1;2;6;8;11;15;21;23;38;43;45;46;47;49;56;57;60;61;62;65
2023-06-05;2;6;11;12;17;19;21;23;34;35;37;41;42;45;48;53;54;56;65;67
2023-06-04;5;10;11;14;16;21;24;27;28;31;34;36;42;45;46;49;52;58;66;68
2023-06-03;4;9;12;14;23;25;28;30;31;37;38;40;42;46;55;59;60;68;69;70
2023-06-02;3;5;8;11;17;22;23;24;25;26;27;33;39;40;43;53;56;57;62;64
2023-06-01;1;2;12;15;16;19;20;26;27;28;35;38;45;46;47;49;50;52;63;69
2023-05-31;1;3;5;14;15;20;21;23;26;31;34;36;37;40;42;47;56;64;65;67
2023-05-30;5;6;8;10;18;23;24;31;37;39;40;42;43;44;46;51;57;58;60;66
2023-05-29;9;15;19;22;25;27;28;31;35;39;41;43;46;55;56;57;61;62;65;68
2023-05-28;1;4;18;21;22;24;27;28;36;37;39;41;45;48;50;51;54;59;64;69
2023-05-27;10;13;15;16;18;25;29;30;39;40;41;44;45;46;53;57;65;68;69;70
2023-05-26;1;4;5;6;9;10;15;27;28;29;40;49;51;52;53;54;57;58;62;64
2023-05-25;7;9;14;15;17;22;24;28;33;35;36;44;46;48;53;55;58;61;67;70
2023-05-24;6;10;11;12;13;22;25;26;29;31;33;40;41;45;49;62;63;64;66;69
2023-05-23;1;2;14;19;24;30;32;36;37;40;44;46;48;49;55;62;63;64;68;69
2023-05-22;6;9;11;12;13;14;19;20;23;24;26;31;40;48;49;50;54;62;63;69
2023-05-21;6;10;19;20;21;24;28;33;35;40;42;47;51;60;62;64;65;67;69;70
2023-05-20;8;9;11;17;22;23;28;34;35;36;42;43;47;51;55;56;57;58;63;68
2023-05-19;3;9;10;12;15;24;25;28;30;31;34;37;39;42;44;54;61;63;65;68
2023-05-18;1;10;18;19;23;26;28;33;34;38;41;46;49;52;54;59;60;63;66;67
2023-05-17;4;6;16;21;22;23;34;35;40;41;44;45;53;55;59;60;61;62;64;70
2023-05-16;2;16;19;21;23;24;25;26;31;32;36;40;41;42;46;47;48;60;61;68
2023-05-15;5;8;9;10;18;19;23;27;28;32;33;35;48;54;55;59;62;64;65;69
2023-05-14;8;14;21;23;27;29;30;31;34;39;43;44;50;52;58;59;61;64;65;66
2023-05-13;5;7;16;19;21;26;29;30;31;38;41;43;45;48;51;65;66;67;69;70
2023-05-12;3;5;8;15;20;21;27;31;33;34;36;37;38;44;45;56;59;60;61;69
2023-05-11;1;2;8;9;10;17;19;26;30;35;40;42;44;46;48;50;51;55;58;64
2023-05-10;4;5;6;7;11;12;14;18;23;24;25;30;34;44;46;49;57;58;59;62
2023-05-09;5;9;17;19;22;31;32;38;44;46;48;51;52;54;58;59;64;67;69;70
2023-05-08;1;4;6;11;13;15;16;17;23;24;26;31;36;37;40;45;49;50;56;66
2023-05-07;2;6;9;13;14;16;23;27;31;34;35;44;45;46;51;56;61;62;63;66
2023-05-06;1;14;19;20;21;22;24;25;29;30;31;38;39;43;49;51;54;58;64;65
2023-05-05;2;3;4;7;8;9;10;11;12;13;15;21;30;32;37;40;42;44;48;67
2023-05-04;1;4;6;10;20;23;25;27;31;33;46;47;53;55;56;57;58;59;67;70
2023-05-03;4;5;10;12;17;18;22;25;31;33;37;40;47;48;51;56;60;63;66;69
2023-05-02;2;4;7;12;15;16;18;23;29;31;37;40;41;46;56;61;63;64;65;70
2023-05-01;1;3;5;6;12;16;17;20;28;29;30;37;38;39;43;55;56;62;65;67
2023-04-30;3;12;14;21;29;33;35;38;41;42;43;50;57;58;59;60;66;67;69;70
2023-04-29;3;5;8;9;15;19;22;24;26;28;30;31;32;36;43;53;58;63;66;67
2023-04-28;6;11;12;16;22;23;27;30;32;33;36;43;48;53;54;58;59;61;65;67
2023-04-27;6;11;15;22;27;29;33;41;45;48;49;51;53;56;58;59;60;67;68;69
2023-04-26;1;2;3;16;22;24;25;27;28;33;37;38;51;52;55;57;58;59;66;67
2023-04-25;4;5;6;9;10;12;19;23;25;26;29;37;40;42;49;51;56;59;61;65
2023-04-24;2;6;8;9;15;16;17;22;27;29;30;31;36;40;49;56;61;66;67;68
2023-04-23;1;2;6;8;12;14;17;24;26;28;29;37;38;40;48;52;54;60;65;69
2023-04-22;2;7;10;13;15;18;20;33;38;41;42;43;47;48;53;56;57;60;62;70
2023-04-21;2;7;10;11;15;17;19;24;26;27;29;36;38;40;42;47;49;51;52;70
2023-04-20;10;14;22;23;25;30;34;35;38;39;40;44;52;53;54;57;59;60;67;69
2023-04-19;2;7;9;10;15;19;26;32;34;42;46;47;48;51;53;57;62;63;66;70
2023-04-18;2;6;8;10;14;20;21;26;35;38;43;44;46;51;54;60;62;67;68;69
2023-04-17;3;9;11;12;13;14;22;25;34;36;44;49;50;52;53;55;59;60;64;68
2023-04-16;11;13;18;20;27;31;32;36;38;40;41;43;46;49;50;52;59;60;61;62
2023-04-15;6;10;16;17;21;26;27;29;31;33;39;40;46;50;62;63;64;65;69;70
2023-04-14;2;6;10;17;20;21;23;25;26;27;33;38;39;46;48;49;51;52;63;70
2023-04-13;1;3;17;23;28;33;35;38;41;42;48;49;54;55;57;61;62;65;66;67
2023-04-12;1;8;10;14;20;23;30;36;38;49;52;53;55;56;58;60;61;63;67;68
2023-04-11;3;5;9;11;12;19;20;24;29;30;38;40;50;52;58;60;61;62;63;69
2023-04-10;7;8;11;15;18;24;25;28;29;30;34;36;38;41;48;50;52;53;54;56
2023-04-09;3;4;5;7;10;13;21;27;33;34;37;39;40;45;47;48;54;56;61;63
2023-04-08;1;2;4;12;15;17;18;21;22;23;27;28;35;40;44;49;56;57;67;69
2023-04-07;12;13;21;23;29;31;33;34;35;40;46;47;48;49;50;52;57;60;62;68
2023-04-06;2;8;10;16;25;26;28;33;34;36;37;42;46;53;57;59;61;63;65;68
2023-04-05;6;16;19;22;23;25;28;31;37;38;41;42;43;45;49;54;56;63;64;68
2023-04-04;9;10;14;21;22;24;28;30;40;45;46;48;49;51;53;54;63;65;68;69
2023-04-03;9;12;15;16;23;24;25;26;27;30;31;34;39;43;50;55;59;61;65;70
2023-04-02;3;7;8;12;15;17;18;26;28;30;33;46;48;57;59;60;61;66;68;69
2023-04-01;5;10;11;13;18;20;22;26;32;39;41;44;49;52;58;60;61;64;68;70
2023-03-31;2;3;9;18;19;22;23;30;34;35;36;37;50;51;54;58;60;62;63;70
2023-03-30;2;15;24;28;34;35;37;43;45;47;48;50;55;57;58;59;61;64;67;70
2023-03-29;18;20;21;25;26;32;34;37;40;42;44;45;46;47;50;52;55;57;59;67
2023-03-28;1;2;4;5;7;14;18;20;22;32;33;35;44;49;53;58;59;60;69;70
2023-03-27;3;4;5;10;13;18;20;21;26;43;44;51;52;53;56;57;58;63;66;68
