Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2007-04-12;6;13;15;23;28;29;30;34;36;43;44;47;53;55;56;57;63;71;76;80
2007-04-11;3;9;10;14;15;18;20;26;30;34;39;40;46;47;48;51;54;65;74;80
2007-04-10;2;7;8;9;12;13;15;18;19;23;30;32;35;37;39;52;54;56;69;70
2007-04-07;5;12;19;28;30;33;36;39;42;43;44;52;56;61;66;72;75;77;78;79
2007-04-06;4;5;7;11;12;14;15;22;23;25;29;30;33;42;44;47;53;57;60;69
2007-04-05;3;5;10;15;17;21;26;33;35;41;42;44;45;51;69;72;74;76;78;79
2007-04-04;7;8;12;16;21;30;32;34;36;38;41;45;46;55;60;67;72;73;79;80
2007-04-03;2;4;6;7;8;10;12;13;18;23;24;26;33;34;38;49;58;63;72;75
2007-04-02;1;7;10;11;16;19;20;23;31;34;35;39;45;46;47;55;56;59;62;69
2007-03-31;4;10;15;16;19;29;30;31;34;37;50;53;54;55;59;74;76;77;78;80
2007-03-30;10;15;16;19;20;23;25;26;32;33;34;37;42;47;53;64;66;72;74;80
2007-03-29;2;7;9;12;19;23;25;31;33;42;52;53;54;56;59;61;69;73;74;75
2007-03-28;2;6;13;17;18;20;22;29;35;40;45;47;49;53;57;60;65;76;78;80
2007-03-27;5;26;29;30;35;36;37;44;46;47;48;50;52;61;62;64;67;74;75;79
2007-03-26;2;3;4;8;10;15;18;19;23;25;26;29;36;48;50;58;61;63;69;76
2007-03-24;2;3;4;6;8;12;29;34;35;37;38;43;45;46;55;70;72;73;78;79
2007-03-23;6;7;8;16;20;24;25;28;45;50;53;57;59;65;69;71;73;78;79;80
2007-03-22;1;13;15;16;31;39;42;44;49;54;55;56;57;59;66;68;69;72;73;78
2007-03-21;5;6;11;14;18;22;23;27;28;30;31;33;39;41;44;45;61;63;68;80
2007-03-20;1;3;5;7;9;11;12;13;14;20;23;28;32;39;42;43;53;55;62;78
2007-03-19;8;16;17;19;22;23;29;31;33;35;41;44;52;55;62;69;70;72;73;78
2007-03-17;3;11;12;13;14;17;18;27;29;31;46;48;50;66;72;75;77;78;79;80
2007-03-16;1;4;7;8;12;14;20;21;23;24;32;39;41;42;43;45;51;56;74;80
2007-03-15;13;15;19;31;32;36;37;38;40;44;48;51;52;53;58;64;67;69;75;80
2007-03-14;2;5;6;9;10;13;15;20;23;27;29;47;51;52;68;69;70;71;75;78
2007-03-13;2;9;10;21;26;27;32;41;42;53;55;57;63;64;66;72;73;74;75;78
2007-03-12;1;6;9;14;17;19;24;27;29;34;38;39;41;48;50;52;58;62;68;78
2007-03-10;1;13;17;18;30;32;37;41;42;44;47;48;49;57;58;62;73;74;76;77
2007-03-09;1;5;6;24;28;29;31;32;35;40;47;51;52;53;54;57;66;69;74;77
2007-03-08;2;8;16;20;22;25;26;36;37;38;40;47;53;60;61;66;67;70;75;80
2007-03-07;10;13;17;19;32;34;36;38;50;53;54;55;57;59;65;67;68;71;75;80
2007-03-06;10;13;18;21;26;28;30;32;34;35;36;46;47;50;53;60;65;69;72;74
2007-03-05;1;8;13;14;16;18;22;24;29;31;36;40;45;53;63;71;73;75;76;79
2007-03-03;1;7;9;11;12;20;21;25;32;40;44;45;48;51;59;67;74;75;79;80
2007-03-02;1;2;3;4;6;15;17;24;28;35;38;40;43;45;54;58;64;69;75;76
2007-03-01;1;6;7;14;29;34;43;49;56;59;61;64;66;67;70;72;73;76;79;80
2007-02-28;2;5;7;8;14;20;28;30;35;38;40;46;49;50;51;60;63;67;71;79
2007-02-27;1;4;8;12;18;22;23;27;28;29;31;36;40;46;48;50;51;54;55;58
2007-02-26;8;12;13;20;23;25;26;34;43;44;45;53;55;58;64;69;72;73;79;80
2007-02-24;1;5;11;13;15;18;20;28;30;32;37;40;43;44;60;65;66;70;74;76
2007-02-23;1;4;7;8;14;16;18;23;24;32;34;41;45;46;50;51;56;58;63;67
2007-02-22;3;8;16;18;23;29;30;31;32;42;45;49;55;58;63;65;66;70;76;79
2007-02-21;7;13;23;25;28;29;36;38;42;43;45;54;55;59;61;65;69;71;73;77
2007-02-20;1;4;6;7;9;10;12;30;32;36;37;40;42;47;57;58;59;63;79;80
2007-02-19;2;6;8;9;16;21;22;23;30;32;34;35;40;41;47;55;56;63;66;72
2007-02-17;1;6;7;20;21;23;27;29;34;36;37;38;45;46;47;51;71;75;78;79
2007-02-16;2;6;10;12;13;19;23;24;32;34;36;38;42;43;48;61;64;66;70;77
2007-02-15;3;4;5;7;11;14;16;31;37;42;45;54;55;58;63;66;68;73;76;80
2007-02-14;1;8;10;17;19;31;37;39;45;47;49;52;53;55;57;58;60;63;64;76
2007-02-13;2;5;9;10;11;16;17;19;21;22;28;31;33;34;51;60;62;66;70;79
2007-02-12;2;5;9;12;19;20;27;29;32;36;41;43;51;57;63;65;74;76;79;80
2007-02-10;2;5;14;15;19;23;24;26;36;37;39;48;50;53;56;61;67;68;72;73
2007-02-09;4;7;13;14;16;18;20;22;24;28;30;34;35;36;39;40;56;57;62;65
2007-02-08;3;6;7;9;10;11;12;15;17;19;23;27;30;37;50;51;53;57;61;74
2007-02-07;3;11;12;13;19;25;31;37;39;47;51;53;54;69;70;71;73;76;79;80
2007-02-06;11;13;19;22;24;27;28;31;43;50;56;57;60;61;62;66;68;76;79;80
2007-02-05;4;5;7;8;10;16;20;26;27;28;30;31;42;46;54;57;59;63;78;80
2007-02-03;3;7;16;19;20;22;27;32;36;44;45;47;52;53;55;58;60;61;63;69
2007-02-02;14;28;31;42;49;52;56;61;62;63;64;65;66;67;69;71;74;75;76;80
2007-02-01;7;10;13;15;18;21;22;23;31;32;35;36;41;42;47;50;54;56;58;63
